# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
105,1715467787.7794547,336000,10.0,0.0,1.125,0,288.0,0.0,0.0,-1.1778438091278076,-1.0818862915039062,0.0012343644630163908,-0.09719191491603851,1.0,1.0,0.0,0.0
106,1715467814.1600564,339200,12.0,0.03125,1.40625,0,278.0,0.03958333283662796,0.13712069392204285,1.224118947982788,1.250434160232544,0.07087647169828415,-0.09719163924455643,1.0,1.0,0.0,0.0
107,1715467839.5325308,342400,11.0,0.03125,1.03125,0,274.6363830566406,0.050852272659540176,0.16865791380405426,0.08690452575683594,0.10743920505046844,0.0766492411494255,-0.09718391299247742,1.0,1.0,0.0,0.0
108,1715467866.3469484,345600,12.0,0.03125,1.28125,0,280.0833435058594,0.03307291865348816,0.11456794291734695,-0.46494919061660767,-0.3999752402305603,0.03222294896841049,-0.09719690680503845,1.0,1.0,0.0,0.0
109,1715467893.7300427,348800,10.0,0.0,1.03125,0,288.0,0.0,0.0,-1.0479226112365723,-0.9517799615859985,0.0010500208009034395,-0.0971926599740982,1.0,1.0,0.0,0.0
110,1715467917.732713,352000,14.0,0.0625,1.40625,0,258.64288330078125,0.106026791036129,0.2700228691101074,2.8046298027038574,2.6923813819885254,0.20944149792194366,-0.09719306230545044,1.0,1.0,0.0,0.0
111,1715467942.1068475,355200,12.0,0.03125,1.03125,0,270.5,0.06302084028720856,0.21831056475639343,-0.40847769379615784,-0.44171562790870667,0.1304297298192978,-0.09719178825616837,1.0,1.0,0.0,0.0
112,1715467969.1628406,358400,11.0,0.03125,1.28125,0,279.3636474609375,0.03607954457402229,0.1196623146533966,-0.8592129349708557,-0.8014498949050903,0.0394165962934494,-0.09717965126037598,1.0,1.0,0.0,0.0
113,1715467996.969731,361600,12.0,0.0,1.3125,0,288.0,0.0,0.0,-1.2887725830078125,-1.1929906606674194,0.00140160764567554,-0.09718360751867294,1.0,1.0,0.0,0.0
114,1715468024.4662638,364800,9.0,0.0,1.125,0,288.0,0.0,0.0,-0.3963471055030823,-0.2994658946990967,0.0003060830640606582,-0.09718729555606842,1.0,1.0,0.0,0.0
115,1715468050.08257,368000,12.0,0.0,0.71875,0,288.0,0.0,0.0,-0.2202635407447815,-0.12329045683145523,0.00021460774587467313,-0.09718769043684006,1.0,1.0,0.0,0.0
116,1715468077.0821986,371200,13.0,0.03125,1.25,0,269.5384826660156,0.06538461893796921,0.2357475757598877,2.0857865810394287,2.0078039169311523,0.17516997456550598,-0.09718730300664902,1.0,1.0,0.0,0.0
117,1715468104.2656467,374400,12.0,0.0625,1.1875,0,267.75,0.07994791865348816,0.18734584748744965,1.6363823413848877,1.6103272438049316,0.12325528264045715,-0.09720014780759811,1.0,1.0,0.0,0.0
118,1715468129.25356,377600,11.0,0.0,1.34375,0,288.0,0.0,0.0,-2.6450583934783936,-2.5536184310913086,0.005746500566601753,-0.09718655794858932,1.0,1.0,0.0,0.0
119,1715468153.4417875,380800,10.0,0.03125,1.125,0,275.5,0.04906250163912773,0.15514923632144928,-0.2929239273071289,-0.21876157820224762,0.023028932511806488,-0.09719125926494598,1.0,1.0,0.0,0.0
120,1715468180.3101661,384000,12.0,0.03125,2.0625,0,268.3333435058594,0.06979166716337204,0.24176539480686188,1.4276679754257202,1.37099289894104,0.15386272966861725,-0.0971875935792923,1.0,1.0,0.0,0.0
121,1715468208.6261387,387200,14.0,0.0625,1.5,0,271.21429443359375,0.06674107164144516,0.2054237574338913,-0.7992809414863586,-0.7468992471694946,0.04479013755917549,-0.0971718356013298,1.0,1.0,0.0,0.0
122,1715468235.3990092,390400,9.0,0.0,1.09375,0,288.0,0.0,0.0,-0.9141949415206909,-0.8179559707641602,0.0009347271407023072,-0.09717366844415665,1.0,1.0,0.0,0.0
123,1715468259.4127173,393600,12.0,0.0,1.15625,0,288.0,0.0,0.0,-0.2957500219345093,-0.19903527200222015,0.00045789009891450405,-0.09717264026403427,1.0,1.0,0.0,0.0
124,1715468286.6350627,396800,11.0,0.0,1.3125,0,288.0,0.0,0.0,-0.10634041577577591,-0.00951702892780304,0.0003490434610284865,-0.09717243164777756,1.0,1.0,0.0,0.0
125,1715468314.0164812,400000,11.0,0.0,1.125,0,288.0,0.0,0.0,-0.14725524187088013,-0.05035000294446945,0.0002676627482287586,-0.09717290103435516,1.0,1.0,0.0,0.0
126,1715468338.815602,403200,11.0,0.0,1.21875,0,288.0,0.0,0.0,-0.34535518288612366,-0.2484758198261261,0.0002965085441246629,-0.09717587381601334,1.0,1.0,0.0,0.0
127,1715468362.60933,406400,11.0,0.0,1.90625,0,288.0,0.0,0.0,-0.004605397582054138,0.0922953188419342,0.0002725927042774856,-0.097173310816288,1.0,1.0,0.0,0.0
128,1715468388.9946675,409600,12.0,0.03125,1.25,0,277.91668701171875,0.03984375298023224,0.1380227953195572,1.9078091382980347,1.9287214279174805,0.07626362144947052,-0.09717594087123871,1.0,1.0,0.0,0.0
129,1715468416.7898462,412800,11.0,0.0,1.59375,0,288.0,0.0,0.0,-1.5823315382003784,-1.4873404502868652,0.0021836580708622932,-0.097174733877182,1.0,1.0,0.0,0.0
130,1715468443.749431,416000,11.0,0.03125,1.375,0,276.9090881347656,0.04374999925494194,0.1451023370027542,0.4821258783340454,0.536702036857605,0.042601946741342545,-0.09717808663845062,1.0,1.0,0.0,0.0
131,1715468467.7628782,419200,11.0,0.03125,1.5,0,267.54547119140625,0.0730113685131073,0.24215130507946014,-0.20103105902671814,-0.16277846693992615,0.05892207473516464,-0.09717467427253723,1.0,1.0,0.0,0.0
132,1715468494.3676167,422400,14.0,0.0625,1.3125,0,281.64288330078125,0.03415178507566452,0.10124275833368301,0.4475715160369873,0.5142767429351807,0.030469508841633797,-0.09717477858066559,1.0,1.0,0.0,0.0
