# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
139,1715512508.6259167,444800,12.0,0.0,1.46875,0,288.0,0.0,0.0,-1.3143818378448486,-1.2208036184310913,0.0019856116268783808,-0.09556391090154648,0.0,0.00010365530761191621,0.00010365530761191621,0.3324107229709625,0.10773561894893646,1853.5,1419.1875,46.78826141357422,440.88421630859375
140,1715512539.3318386,448000,12.0,0.0,1.25,0,288.0,0.0,0.0,0.2922484874725342,0.3869205117225647,0.000916703836992383,-0.09558869898319244,0.0,0.000126404149341397,0.000126404149341397,0.3497183918952942,0.11622273921966553,1864.03125,1423.5,46.8185920715332,444.76416015625
141,1715512565.226157,451200,9.0,0.0625,1.5,0,259.77777099609375,0.11041667312383652,0.22508679330348969,2.3147380352020264,2.2820799350738525,0.12830233573913574,-0.09564413130283356,0.0003105468931607902,0.00010499085328774527,0.0004155377100687474,0.33036720752716064,0.11037640273571014,1874.90625,1439.625,47.13574981689453,445.0615539550781
142,1715512594.718453,454400,15.0,0.0625,2.15625,0,272.0666809082031,0.06312500685453415,0.17043717205524445,-0.25742053985595703,-0.2768055200576782,0.11456836760044098,-0.09518338739871979,0.00029589844052679837,0.00013118027709424496,0.0004270787467248738,0.3488873541355133,0.1272314190864563,1884.53125,1450.5625,47.602142333984375,445.4580993652344
143,1715512622.2208142,457600,9.0,0.03125,0.96875,0,270.5555725097656,0.06562499701976776,0.19687499105930328,-1.4322655200958252,-1.385890245437622,0.048353902995586395,-0.09472917020320892,0.0001845703081926331,0.00010382896289229393,0.0002883992565330118,0.33042287826538086,0.11295486986637115,1899.875,1464.625,47.05067443847656,446.85382080078125
144,1715512650.9700274,460800,14.0,0.0625,1.40625,0,265.7857360839844,0.0837053582072258,0.23939082026481628,3.9586503505706787,3.797679901123047,0.2554423213005066,-0.09447164833545685,0.0003662109375,0.00012084435729775578,0.00048705528024584055,0.3204304575920105,0.11781676858663559,1911.65625,1475.09375,47.67639923095703,448.0263671875
145,1715512679.312055,464000,10.0,0.03125,1.15625,0,278.0,0.04125000163912773,0.13044394552707672,-4.367764472961426,-4.302606582641602,0.030686696991324425,-0.09584488719701767,0.00012890624930150807,8.710572001291439e-05,0.00021601196203846484,0.31078338623046875,0.09776154160499573,1916.0,1481.4375,47.887611389160156,450.51171875
146,1715512705.8397543,467200,11.0,0.03125,0.875,0,272.2727355957031,0.05823863670229912,0.1931557059288025,0.248977392911911,0.24398747086524963,0.10107875615358353,-0.09608883410692215,0.00020019531075377017,8.503956632921472e-05,0.00028523485525511205,0.2990667521953583,0.1014566421508789,1922.53125,1492.625,48.26409912109375,451.8466491699219
147,1715512734.4616406,470400,15.0,0.0625,1.21875,0,268.4000244140625,0.07458333671092987,0.19682490825653076,0.4652501344680786,0.4584375023841858,0.10270054638385773,-0.09588788449764252,0.0003496093559078872,0.0001181931875180453,0.000467802572529763,0.3260953426361084,0.12487033754587173,1929.4375,1501.15625,48.58977508544922,452.72894287109375
148,1715512762.0825026,473600,7.0,0.0,1.375,0,288.0,0.0,0.0,-1.9837183952331543,-1.8914899826049805,0.0036347154527902603,-0.09586308896541595,0.0,0.00011920830002054572,0.00011920830002054572,0.33296439051628113,0.11565683037042618,1946.875,1516.96875,48.323211669921875,454.04656982421875
149,1715512791.5198116,476800,13.0,0.03125,1.5625,0,280.8461608886719,0.030048077926039696,0.10833988338708878,1.0972665548324585,1.1481190919876099,0.045019201934337616,-0.0958716943860054,0.0001220703125,0.00010329073120374233,0.00022536105825565755,0.3252796232700348,0.11468301713466644,1949.03125,1523.09375,49.28633117675781,456.32061767578125
150,1715512818.0537794,480000,13.0,0.03125,1.65625,0,282.6153869628906,0.02451923117041588,0.08840534090995789,-0.48851606249809265,-0.42120254039764404,0.0285983607172966,-0.0959118977189064,9.960937313735485e-05,9.77636082097888e-05,0.0001973730104509741,0.30296218395233154,0.10316113382577896,1969.0,1539.625,48.957359313964844,457.48822021484375
151,1715512847.5008023,483200,10.0,0.0625,1.375,0,262.1000061035156,0.10093750059604645,0.21359017491340637,2.1218228340148926,2.096782684326172,0.1207415834069252,-0.09570138901472092,0.0003154296719003469,0.00013043319631833583,0.0004458628536667675,0.3405677378177643,0.11766282469034195,1972.78125,1546.8125,49.293243408203125,459.37408447265625
